Antecedants,Consequents,Confidence
105,79,0.348643006
79,109,0.386363636
109,79,0.344594595
79,110,0.434343434
110,79,0.323308271
79,111,0.404040404
111,79,0.326530612
79,112,0.358585859
112,79,0.355889724
79,128,0.338383838
128,79,0.218597064
80,81,0.447674419
81,80,0.515050167
80,84,0.575581395
84,80,0.755725191
80,85,0.488372093
85,80,0.451612903
87,80,0.393700787
80,87,0.726744186
80,89,0.418604651
89,80,0.582995951
80,90,0.450581395
90,80,0.492063492
80,92,0.51744186
92,80,0.490358127
80,93,0.572674419
93,80,0.522546419
80,95,0.430232558
95,80,0.394666667
97,80,0.471471471
80,97,0.456395349
102,80,0.325327511
80,102,0.433139535
103,80,0.379310345
80,103,0.415697674
104,80,0.506234414
80,104,0.590116279
105,80,0.344467641
80,105,0.479651163
109,80,0.346846847
80,109,0.447674419
80,110,0.488372093
110,80,0.315789474
80,111,0.447674419
111,80,0.314285714
112,80,0.35839599
80,112,0.415697674
80,114,0.424418605
114,80,0.478688525
85,81,0.362903226
81,85,0.451505017
87,81,0.31023622
81,87,0.658862876
81,92,0.535117057
92,81,0.44077135
93,81,0.424403183
81,93,0.535117057
81,95,0.444816054
95,81,0.354666667
104,81,0.334164589
81,104,0.448160535
106,81,0.562068966
81,106,0.545150502
110,81,0.268796992
81,110,0.47826087
87,82,0.239370079
82,87,0.734299517
97,82,0.393393393
82,97,0.632850242
87,83,0.253543307
83,87,0.7
83,92,0.591304348
92,83,0.374655647
83,95,0.582608696
95,83,0.357333333
84,85,0.522900763
85,84,0.36827957
87,84,0.292913386
84,87,0.709923664
84,92,0.561068702
92,84,0.404958678
93,84,0.429708223
84,93,0.618320611
104,84,0.346633416
84,104,0.530534351
86,85,0.548701299
85,86,0.454301075
87,85,0.448818898
85,87,0.766129032
85,88,0.35483871
88,85,0.568965517
89,85,0.591093117
85,89,0.392473118
90,85,0.577777778
85,90,0.489247312
85,92,0.432795699
92,85,0.443526171
93,85,0.405835544
85,93,0.411290323
94,85,0.536290323
85,94,0.357526882
85,95,0.416666667
95,85,0.413333333
96,85,0.640909091
85,96,0.379032258
97,85,0.507507508
85,97,0.454301075
102,85,0.355895197
85,102,0.438172043
103,85,0.350132626
85,103,0.35483871
104,85,0.346633416
85,104,0.373655914
105,85,0.33611691
85,105,0.432795699
109,85,0.418918919
85,109,0.5
110,85,0.340225564
85,110,0.48655914
111,85,0.291836735
85,111,0.384408602
112,85,0.328320802
85,112,0.352150538
85,217,0.384408602
217,85,0.167056075
87,86,0.332283465
86,87,0.685064935
86,88,0.532467532
88,86,0.706896552
86,90,0.483766234
90,86,0.473015873
86,92,0.477272727
92,86,0.404958678
86,93,0.448051948
93,86,0.366047745
86,95,0.555194805
95,86,0.456
97,86,0.417417417
86,97,0.451298701
109,86,0.304054054
86,109,0.438311688
86,110,0.448051948
110,86,0.259398496
87,88,0.267716535
88,87,0.732758621
87,89,0.294488189
89,87,0.75708502
87,90,0.387401575
90,87,0.780952381
87,91,0.277165354
91,87,0.615384615
87,92,0.379527559
92,87,0.663911846
87,93,0.359055118
93,87,0.604774536
87,94,0.270866142
94,87,0.693548387
87,95,0.355905512
95,87,0.602666667
87,96,0.264566929
96,87,0.763636364
87,97,0.355905512
97,87,0.678678679
87,102,0.337007874
102,87,0.467248908
87,103,0.275590551
103,87,0.464190981
87,104,0.302362205
104,87,0.478802993
87,105,0.338582677
